City,State,Query,Coordinates,Latitude,Longitude
Bartın,Merkez,Bartın Merkez,"41.6297946,32.3277958",41.6297946,32.3277958
Bartın,Amasra,Bartın Amasra,"41.7438929,32.3821914",41.7438929,32.3821914
Batman,Sason,Batman Sason,"38.3311442,41.4122693",38.3311442,41.4122693
Batman,Merkez,Batman Merkez,"37.8987221,41.1311484",37.8987221,41.1311484
Batman,Kozluk,Batman Kozluk,"38.1786984,41.4861003",38.1786984,41.4861003
Batman,Hasankeyf,Batman Hasankeyf,"37.7126622,41.4155907",37.7126622,41.4155907
Batman,Gercüş,Batman Gercüş,"37.6386233,41.2211792",37.6386233,41.2211792
Batman,Beşiri,Batman Beşiri,"37.9192052,41.2907732",37.9192052,41.2907732
Bayburt,Merkez,Bayburt Merkez,"40.2730981,40.1094594",40.2730981,40.1094594
Bayburt,Aydıntepe,Bayburt Aydıntepe,"40.3922696,40.1474384",40.3922696,40.1474384
Bayburt,Demirözü,Bayburt Demirözü,"40.1639265,39.8874717",40.1639265,39.8874717
Bilecik,Osmaneli,Bilecik Osmaneli,"40.3572702,30.0111704",40.3572702,30.0111704
Bilecik,Bozüyük,Bilecik Bozüyük,"39.9025926,30.0468179",39.9025926,30.0468179
Bilecik,Gölpazarı,Bilecik Gölpazarı,"40.282188,30.3066965",40.282188,30.3066965
Bilecik,İnhisar,Bilecik İnhisar,"40.0516901,30.3829442",40.0516901,30.3829442
Bilecik,Merkez,Bilecik Merkez,"40.1501274,29.8474824",40.1501274,29.8474824
Bilecik,Pazaryeri,Bilecik Pazaryeri,"40.0208797,29.8084054",40.0208797,29.8084054
Bilecik,Söğüt,Bilecik Söğüt,"40.0202541,30.1759299",40.0202541,30.1759299
Bilecik,Yenipazar,Bilecik Yenipazar,"40.2025083,30.4345803",40.2025083,30.4345803
Bingöl,Adaklı,Bingöl Adaklı,"39.2350459,40.4685978",39.2350459,40.4685978
Bingöl,Yedisu,Bingöl Yedisu,"39.434322,40.5438273",39.434322,40.5438273
Bingöl,Yayladere,Bingöl Yayladere,"39.228135,40.0699425",39.228135,40.0699425
Bingöl,Solhan,Bingöl Solhan,"38.9631452,41.0340288",38.9631452,41.0340288
Bingöl,Merkez,Bingöl Merkez,"38.9235408,40.3456692",38.9235408,40.3456692
Bingöl,Kiğı,Bingöl Kiğı,"39.3093786,40.3434705",39.3093786,40.3434705
Bingöl,Karlıova,Bingöl Karlıova,"39.2969491,41.0043799",39.2969491,41.0043799
Bingöl,Genç,Bingöl Genç,"38.7523258,40.5519733",38.7523258,40.5519733
Bitlis,Hizan,Bitlis Hizan,"38.2237343,42.4139834",38.2237343,42.4139834
Bitlis,Ahlat,Bitlis Ahlat,"38.7492837,42.466437",38.7492837,42.466437
Bitlis,Mutki,Bitlis Mutki,"38.4102525,41.9218654",38.4102525,41.9218654
Bitlis,Tatvan,Bitlis Tatvan,"38.5037853,42.2706931",38.5037853,42.2706931
Bitlis,Adilcevaz,Bitlis Adilcevaz,"38.8088078,42.7427172",38.8088078,42.7427172
Bitlis,Güroymak,Bitlis Güroymak,"38.5727933,42.0204387",38.5727933,42.0204387
Bitlis,Merkez,Bitlis Merkez,"38.3257256,41.9179892",38.3257256,41.9179892
Bolu,Mengen,Bolu Mengen,"40.9363575,32.0688034",40.9363575,32.0688034
Bolu,Gerede,Bolu Gerede,"40.7942642,32.1903303",40.7942642,32.1903303
Bolu,Dörtdivan,Bolu Dörtdivan,"40.719975,32.0603273",40.719975,32.0603273
Bolu,Göynük,Bolu Göynük,"40.3268795,30.7347639",40.3268795,30.7347639
Bolu,Kıbrıscık,Bolu Kıbrıscık,"40.3268795,30.7347639",40.3268795,30.7347639
Bolu,Merkez,Bolu Merkez,"40.7584219,31.479533",40.7584219,31.479533
Bolu,Mudurnu,Bolu Mudurnu,"40.4656031,31.2070444",40.4656031,31.2070444
Bolu,Seben,Bolu Seben,"40.4110161,31.5693137",40.4110161,31.5693137
Bolu,Yeniçağa,Bolu Yeniçağa,"40.771002,32.028005",40.771002,32.028005
Burdur,Altınyayla,Burdur Altınyayla,"36.9933701,29.5277293",36.9933701,29.5277293
Burdur,Ağlasun,Burdur Ağlasun,"37.6160687,30.5382249",37.6160687,30.5382249
Burdur,Bucak,Burdur Bucak,"37.4580681,30.5540042",37.4580681,30.5540042
Burdur,Yeşilova,Burdur Yeşilova,"37.5055663,29.7467379",37.5055663,29.7467379
Burdur,Tefenni,Burdur Tefenni,"37.310202,29.770834",37.310202,29.770834
Burdur,Merkez,Burdur Merkez,"37.5776788,30.1472653",37.5776788,30.1472653
Burdur,Kemer,Burdur Kemer,"37.3538838,30.0589162",37.3538838,30.0589162
Burdur,Karamanlı,Burdur Karamanlı,"37.3785717,29.8154268",37.3785717,29.8154268
Burdur,Gölhisar,Burdur Gölhisar,"37.1465607,29.5031989",37.1465607,29.5031989
Burdur,Çeltikçi,Burdur Çeltikçi,"37.534279,30.4199921",37.534279,30.4199921
Burdur,Çavdır,Burdur Çavdır,"37.1148478,29.6460943",37.1148478,29.6460943
Bursa,Yıldırım,Bursa Yıldırım,"40.2479381,29.5167595",40.2479381,29.5167595
Bursa,Büyükorhan,Bursa Büyükorhan,"39.7712161,28.8816257",39.7712161,28.8816257
Bursa,Osmangazi,Bursa Osmangazi,"40.2217797,28.9497189",40.2217797,28.9497189
Bursa,Orhangazi,Bursa Orhangazi,"40.4537992,29.2900199",40.4537992,29.2900199
Bursa,Orhaneli,Bursa Orhaneli,"39.9036549,28.8616684",39.9036549,28.8616684
Bursa,Nilüfer,Bursa Nilüfer,"40.2124323,28.6009615",40.2124323,28.6009615
Bursa,Mudanya,Bursa Mudanya,"40.3656968,28.8787751",40.3656968,28.8787751
Bursa,Yenişehir,Bursa Yenişehir,"40.2479381,29.5167595",40.2479381,29.5167595
Bursa,Keles,Bursa Keles,"39.9132286,29.2297318",39.9132286,29.2297318
Bursa,Kestel,Bursa Kestel,"40.1989939,29.2002518",40.1989939,29.2002518
Bursa,Gemlik,Bursa Gemlik,"40.434022,29.1531413",40.434022,29.1531413
Bursa,Gürsu,Bursa Gürsu,"40.2689416,29.1858456",40.2689416,29.1858456
Bursa,Mustafakemalpaşa,Bursa Mustafakemalpaşa,"40.038375,28.3932668",40.038375,28.3932668
Bursa,İnegöl,Bursa İnegöl,"40.0963609,29.4698441",40.0963609,29.4698441
Bursa,İznik,Bursa İznik,"40.4304944,29.7044213",40.4304944,29.7044213
Bursa,Karacabey,Bursa Karacabey,"40.2128554,28.3521852",40.2128554,28.3521852
Bursa,Harmancık,Bursa Harmancık,"39.7032713,29.0387799",39.7032713,29.0387799
Denizli,Tavas,Denizli Tavas,"37.5768391,29.0518338",37.5768391,29.0518338
Denizli,Serinhisar,Denizli Serinhisar,"37.5793059,29.262257",37.5793059,29.262257
Denizli,Sarayköy,Denizli Sarayköy,"37.9199526,28.7974119",37.9199526,28.7974119
Denizli,Pamukkale,Denizli Pamukkale,"37.8910121,29.0437754",37.8910121,29.0437754
Denizli,Merkezefendi,Denizli Merkezefendi,"37.7829704,29.0403617",37.7829704,29.0403617
Denizli,Kale,Denizli Kale,"37.4351381,28.6999213",37.4351381,28.6999213
Denizli,Honaz,Denizli Honaz,"37.7577689,29.2673419",37.7577689,29.2673419
Denizli,Güney,Denizli Güney,"38.1439676,28.9659753",38.1439676,28.9659753
Denizli,Çardak,Denizli Çardak,"37.8263144,29.6700139",37.8263144,29.6700139
Denizli,Çameli,Denizli Çameli,"37.0420094,29.1862259",37.0420094,29.1862259
Denizli,Çal,Denizli Çal,"38.0823698,29.3901999",38.0823698,29.3901999
Denizli,Bozkurt,Denizli Bozkurt,"37.8058067,29.4945793",37.8058067,29.4945793
Denizli,Beyağaç,Denizli Beyağaç,"37.2211902,28.849133",37.2211902,28.849133
Denizli,Bekilli,Denizli Bekilli,"38.2306642,29.4151372",38.2306642,29.4151372
Denizli,Baklan,Denizli Baklan,"37.9796207,29.6020252",37.9796207,29.6020252
Denizli,Babadağ,Denizli Babadağ,"37.8087197,28.8515427",37.8087197,28.8515427
Denizli,Acıpayam,Denizli Acıpayam,"37.4264679,29.3408279",37.4264679,29.3408279
Denizli,Çivril,Denizli Çivril,"38.2967914,29.7208989",38.2967914,29.7208989
Denizli,Buldan,Denizli Buldan,"38.0442138,28.8294374",38.0442138,28.8294374
Diyarbakır,Eğil,Diyarbakır Eğil,"38.2589428,40.07828",38.2589428,40.07828
Diyarbakır,Bismil,Diyarbakır Bismil,"37.851617,40.6559828",37.851617,40.6559828
Diyarbakır,Çermik,Diyarbakır Çermik,"38.1364909,39.4521828",38.1364909,39.4521828
Diyarbakır,Çınar,Diyarbakır Çınar,"37.6686856,40.0776097",37.6686856,40.0776097
Diyarbakır,Bağlar,Diyarbakır Bağlar,"37.9228529,40.121393",37.9228529,40.121393
Diyarbakır,Çüngüş,Diyarbakır Çüngüş,"38.2117092,39.2868782",38.2117092,39.2868782
Diyarbakır,Dicle,Diyarbakır Dicle,"38.2117092,39.2868782",38.2117092,39.2868782
Diyarbakır,Silvan,Diyarbakır Silvan,"38.1412164,40.7645001",38.1412164,40.7645001
